"","category","subcategory","gender","count"
"228","GreatOutdoors","Tennis","male",0.00518134715025907
"229","GreatOutdoors","Tennis Court","male",0.00518134715025907
"230","Food","Thai Restaurant","male",0.0310880829015544
"231","Arts","Theater","male",0.0155440414507772
"232","Arts","Theme Park","male",0
"233","Shop","Toy / Game Store","male",0.00518134715025907
"234","GreatOutdoors","Track Stadium","male",0.00518134715025907
"235","Education","Trade School","male",0.00518134715025907
"236","Travel","Train Station","male",0.373056994818653
"237","Food","Turkish Restaurant","male",0.00518134715025907
"238","Education","University","male",0.0569948186528497
"239","Food","Vegetarian / Vegan Restaurant","male",0.0155440414507772
"240","Work","Veterinarian","male",0
"241","Shop","Video Store","male",0.00518134715025907
"242","Arts","Water Park","male",0.0103626943005181
"243","Nightlife","Whisky Bar","male",0.00518134715025907
"244","Nightlife","Wine Bar","male",0.0155440414507772
"245","Food","Winery","male",0.00518134715025907
"246","Work","Yoga Studio","male",0.00518134715025907
"247","Arts","Zoo","male",0.00518134715025907
